,text_x,text_y
45,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,"@ChipotleTweets I’m in a group going as the breakfast club, but would be willing to edit it to the burrito club if we can get this at 12 bc if work..."
46,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,@ChipotleTweets Can you order online and pay in store??
47,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,@ChipotleTweets Does this offer to apply at each location?
48,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,@ChipotleTweets Can I get the bowl instead for $3? 😃
49,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,@ChipotleTweets Can we not order online regular. It won’t let me.
50,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,@ChipotleTweets Hey @ChipotleTweets my Lab puppy was wondering if his costume qualifies for the free Boorito? https://t.co/2LfK28ikck
51,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,@ChipotleTweets Extremely disappointed I can’t order food online. Ordering inside and timing dinner with 2 kids under 2 is not easy. Thanks 4 a night ruined
52,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,@ChipotleTweets Am I allowed to order a burrito to-go without a shirt?
53,"Happy Halloween! Since I'm too old to trick or treat I now look forward to $3 booritos at @ChipotleTweets 👻 I got mine earlier, did you?","@115734 I mean, Boorito is basically the adult version of Halloween... -Becky"
54,So frustrated with @ChipotleTweets 😡 Ordered dinner on Saturday using their app. Order was wrong AND they charged my credit card twice,@ChipotleTweets Thank you @ChipotleTweets for resolving my issue so quickly!! Y’all are the best ☺️ #fanforlife
55,So frustrated with @ChipotleTweets 😡 Ordered dinner on Saturday using their app. Order was wrong AND they charged my credit card twice,@115735 That's concerning. Please share this with https://t.co/nrhUDiEk7G. -Shawn
56,"Btw @ChipotleTweets giving out $3 burritos if you dress up for Halloween 🎃 Call your Chipotle to make sure, they’re doing it @ select ones",@115736 All of our U.S. locations are participating! -Becky
57,@ChipotleTweets can I dress up as myself and still qualify for a BOORITO?,@115737 Give it a try. -Tara
58,"Every year, my trick-or-treating routine is walking to Chipotle, spending 3 dollars and walking back home. @ChipotleTweets","@115738 That's the best kind of trick-or-treating. All treats, my friend. -Becky"
59,@ChipotleTweets this is nasty. A used napkin in someone's food https://t.co/EkWiD9vhnr,@115739 That's incredibly concerning. Please provide more details so we can investigate: https://t.co/Ax7W1Dx3Y9 -Becky
60,$3 burritos and I’m nowhere near a @ChipotleTweets 🤦🏾‍♂️,@115740 Bummer. I'm so sorry. How far away is the closest location? -Becky
61,Considering walking to @ChipotleTweets in my llama onesie alone happy Halloween 😭,"@115741 You won't be alone – we'll be there with you. Also, I want that llama onesie. -Becky"
62,@ChipotleTweets name a better halloween duo #speedwaybrick #UTtranscript https://t.co/5ShDRMlC1T,@115742 I love it! Thanks so much for stopping by. -Becky
63,"@AskPlayStation So, what's the november ps plus free game?",@115743 There is no info to share at the moment. Feel free to keep an eye on the PS Blog for news and updates: https://t.co/aLtfBAztyC
64,@AskPlayStation I bought Lego Star Wars in the PlayStation store but it won't let me download it because the data is corrupted..,@115745 Sorry for the inconvenience. Do you see the data corrupted message when you try to open the game or download it?
65,@AskPlayStation can i block a community from sending me invites to something i dont want to join,@115746  Glad to help.  Please share the details of this issue in our Community forum for further investigation: https://t.co/F3J4l2vJHb
66,We had to have a Count Colin 💛 @marksandspencer xx... https://t.co/HVWkevFsKB,"@115747 Glad you had fun, Sarah! We heard Count Collin can really suck the life out of the party  . . . :P"
67,"‘Ere @marksandspencer, never mind avocado 🥑 - How’s about ‘ave a word?
Is it really necessary? 

The pair of ‘em were suffocating. https://t.co/ff2bmOVido","@115748 We've let our team know we can do better, Joel. Thanks for sharing :)"
68,@marksandspencer y do they charge you for a meat bag at colliers woods branch. If you buy meat you r required to supply customers a free bag. Poor service.,"@115749 We're only obligated to provide bags for un-packaged meat. As ours is prepackaged, a charge will be applied"
69,Excellent Halloweening @marksandspencer 👌🏼 #countcolin #halloween #food https://t.co/lq1cSooHdj,@115750 Love the aesthetic of your Colin the 'Creeperpillar' and someday.... 🐛🦋👻 https://t.co/LFubix5E4y
70,"@MicrosoftHelps hi, having trouble making purchases on Xbox one store for fifa points, can you help?","@115751 Hello, Josh! To get better assistance and support, we suggest that you post a tweet or DM our friends from @XboxSupport."
71,"@MicrosoftHelps hi, having trouble making purchases on Xbox one store for fifa points, can you help?","@115751 Hello, Josh! Please help us improve our Twitter support by answering our survey on this link: https://t.co/eTy5gzzUfj. Thank you."
72,@MicrosoftHelps I need assistance recovering 2 hotmail accounts. I have  filled the recovery forms but am told am not providing enough info,@115752 Help is here. To assist you in recovering your account we recommend that you contact our Answer desk team: https://t.co/7zSM1QXPMD.
73,@ATVIAssist @115754 umm someone is streaming WWII with 500+ viewers https://t.co/AhBT7AZZSz,@115753 It appears this has been removed. Thanks for letting me know :) ^MB
74,@ATVIAssist can you still pre oder ww2 on the playstation store,@115755 Yes you can pre order the game on the console store. For more information please contact your console store. ^RK
75,@115758 @ATVIAssist Are yous going to update COD Zombies on IOS for IOS 11.,"@115757 Good afternoon William, unfortunately this app is no longer supported. Sincerest apologies. ^JP"
76,@115758 Why was there a half gig update for world at war?,"@115759 Good afternoon Jayden, sadly we don't have information on that. Sincerest apologies. ^JP"
77,@ATVIAssist i pre ordered wwii but how do i get the code?,@ATVIAssist For double xp^
78,@ATVIAssist I got all of my stats reset on MWR and I don't know why. please help!!!,@115763 Can you please give me your gamertag / platform you're playing on so I can pull up your account information. ^CB
79,"@115754 @115765 @ATVIAssist @115766 

Will non season pass holders get the bobus man Carentan at any point? Or not at all?","@115764

Unfortunately we don't have any information on this. Please stay tuned for more updates. ^JW"
80,Any help here @AdobeCare? https://t.co/x50e57UG4E,"@115767 Hi Jason, please let us know if there is anything we can do to help. Thanks! ^AJ https://t.co/iuwZCjz4Or"
81,@115769 whats going on with your app. its totally stuck here for 1 hour and prior to updating froze and didnt work since updating. https://t.co/UpoCzPNqFb,"@115768 Hi Jeffrey, were you able to update to Lightroom Classic CC?   ^Tanuj"
82,amazonのfireTVstickが見れない😢,@115770 こんにちは、アマゾン公式です。Fire TV Stickが見れないというのは、どのような状況でしょうか。一般的なトラブルシューティングを記載したヘルプがございますので、ご参照ください。https://t.co/2pbG55qJ7h ET
83,"@XboxSupport can I change me sons Xbox live account to his Hotmail account, currently linked to my Hotmail account","@115771 Hi, you can change your Microsoft account email through the steps here: https://t.co/DkEhOHbOYy . If the email your son wants to change to is already associated with a Microsoft account, you'll need to follow those steps to switch the email address on that account too. ^ZM"
84,@115769 Did u release an update today for Lightroom Classic CC?,"@115772 Hi there, Lightroom 7.0.1 update was launched recently, please update the app to the latest version.  ^TS"
85,"Please tell me why my @115769 has expired, but I’m still being charged????","@115773 Hi there, please DM us you Adobe id so that we may have a quick look at your account details.   ^Tanuj https://t.co/iuwZCjz4Or"
86,@115769 are there any plans to add a fast crop mode for the iPad version of LR? It takes too many taps and slows down workflow.,"@115774 Hi there, you may suggest it as a feature request at: https://t.co/SE1u3g161W .  ^Tanuj"
87,So apparently the new version of @115777 @115778 has this cool feature where you can't export SVGs. Sick update guys.,"@115776 Hi Keelin,
Sorry for the inconvenience. I am able to export SVG in AI CC 2018. Would you mind sharing your workflow, sample file/screenshot? https://t.co/iuwZCjz4Or"
88,"Whoa! Come along with Lightroom’s own Ben Warde to get the lowdown: https://t.co/f1FGfdJaNk
https://t.co/6fsIV6WLRV",@115769 I'm worried as if I update my LR6 standalone programme I could lose it due to the new online version....is this true and if so is this fair!
89,@115777 your online forum is always broken even when I clear my cookies. https://t.co/dDwRPWnm3t,"@115780 Hi Lauren, can you try changing your forum screen name at https://t.co/gF69gbjWAQ? That should do the trick! ^Madison"
90,"@AdobeCare InDesign 13.0 is exporting all PDFs with blurry links, but links are not missing in INDD file. JPG export is not blurry. Help!","@115781 Hi Jake, any screenshots you can share? What are you export settings? Is this happening on all files with links? ^Wren"
91,"@AdobeCare InDesign 13.0 is exporting all PDFs with blurry links, but links are not missing in INDD file. JPG export is not blurry. Help!",@115781 Sorry to hear that! I'm looping in our InDesign expert for help. ^Britt
92,"Quand ton @115783 ne ressemble pas à celui que tu as réservé, &amp; qu'en + d'être sale et en sous-sol, tu te retrouves à 10 dans 1 #logement ! https://t.co/BcEIHe38tq","@115782 Hi there, we would like to help. Please DM us your account's email and reservation code so we can further assist. Thank you."
93,@115783 Misrepresentation by host. Asked them to cancel my reservation and refund me over AUD1700 - strict policy. No response. Please help.,@115784 We are sorry to hear this. Please DM your email address and reservation code so we can look into this for you. Thank you.
94,@XboxSupport @115786 @115787 @15913 can anyone let me know when our pre orders are going to be shipped for xbox one x??,@XboxSupport @115786 @115787 @15913 Would like to know so I can make sure I have enough money for it...
95,@115790 @XboxSupport redeemed a code for fifa points this afternoon and still haven't got it. Why is this?,@115789 Hello! Would you mind following us and sending a DM with your gamertag and the code you redeemed?  ^RR
96,"@1520 @XboxSupport  the 5 app on Xboxes not working error code 200, done a power cycle and still the same? Please fix app",@115791 Can you show us what is appearing on your screen? ^RM
97,amazonプライムビデオ、再生エラーが多いです,@115792 ご不便をおかけしております。アプリをご利用でしょうか。強制停止&gt;端末の再起動にて改善する場合がございますので、お試しください。改善しない場合は、状況を確認しご案内させていただきますのでこちらからカスタマーサービスまでご連絡ください。https://t.co/NtNAX2Qh2u ET
98,Something going on at Preston train station ? @115796,@115795 @115796 What have you seen?
99,"Lost your booking number? No worries, just drop me the passenger's name, flight details and email. I'll trace it and email u in no time :)",@AirAsiaSupport lost my booking # chua loreen lee flight z2 129.128 12/22-01/8 taipei-manila. __email__
